date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:16	59803/59803	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2018:12:42%20GMT	https://mixdesign.club/themeforest/braxton/index-svg.html	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/index-svg.html	(from )
19:06:17	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Apr%202024%2012:06:18%20GMT	https://mixdesign.club/robots.txt		(from )
19:06:17	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sun,%2010%20Mar%202024%2018:14:05%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/favicon.ico	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/favicon/favicon.ico	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:17	258/258	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:06%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/icon.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/favicon/icon.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:17	8168/8168	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Mar%202024%2018:14:05%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/favicon/apple-touch-icon.png	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:18	374/374	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2010%20Mar%202024%2018:14:06%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/manifest.webmanifest	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/favicon/manifest.webmanifest	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Apr%202024%2012:06:19%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/og-image.jpg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/favicon/og-image.jpg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:18	12284/12284	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Mar%202024%2018:12:54%20GMT	https://mixdesign.club/themeforest/braxton/css/loaders/loader.css	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/css/loaders/loader.css	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:19	103596/103596	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2016:29:28%20GMT	https://mixdesign.club/themeforest/braxton/css/main.css	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/css/main.css	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:20	1051145/1051145	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Mar%202024%2018:12:50%20GMT	https://mixdesign.club/themeforest/braxton/css/plugins.css	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/css/plugins.css	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:20	57520/57520	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:30%20GMT	https://mixdesign.club/themeforest/braxton/img/works/800_w01-thumb.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/800_w01-thumb.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:20	132550/132550	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:13:42%20GMT	https://mixdesign.club/themeforest/braxton/img/avatars/1024x1024_a01.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/avatars/1024x1024_a01.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:21	115502/115502	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:26%20GMT	https://mixdesign.club/themeforest/braxton/img/works/1400x1400_w01.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/1400x1400_w01.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:21	35696/35696	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:31%20GMT	https://mixdesign.club/themeforest/braxton/img/works/800_w02-thumb.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/800_w02-thumb.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:22	69366/69366	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:26%20GMT	https://mixdesign.club/themeforest/braxton/img/works/1400x1400_w02.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/1400x1400_w02.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:22	26250/26250	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:27%20GMT	https://mixdesign.club/themeforest/braxton/img/works/1400x1400_w03.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/1400x1400_w03.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:22	13378/13378	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:31%20GMT	https://mixdesign.club/themeforest/braxton/img/works/800_w03-thumb.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/800_w03-thumb.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:22	92866/92866	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:28%20GMT	https://mixdesign.club/themeforest/braxton/img/works/1400x1400_w04.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/1400x1400_w04.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:23	47854/47854	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:32%20GMT	https://mixdesign.club/themeforest/braxton/img/works/800_w04-thumb.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/works/800_w04-thumb.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:23	49130/49130	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:21%20GMT	https://mixdesign.club/themeforest/braxton/img/services/1200x900_s01.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/services/1200x900_s01.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:23	46898/46898	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:22%20GMT	https://mixdesign.club/themeforest/braxton/img/services/1200x900_s03.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/services/1200x900_s03.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
